id,sku,name,oldStatus,newStatus,manageStock,stockQuantity,postStatus
54347,F286388-Clear,F286388-Clear - Flower Dome Clear - 1/pk 40bx/cs cs.40,instock,outofstock,false,,draft
54340,F286459-BLK,F286459-BLK - Black Metallic Glitter Rose Dome - 1/pk 40bx/cs cs.40,instock,outofstock,false,,draft
54334,D751068-Red,D751068-Red - 3D Backpack Red Lager Size 8.67*4.92*9.84 inch - 6/pk 2bx/cs cs.12,instock,outofstock,false,,draft
54192,P273692,Teddy Bear Sherpa Slippers 36cm-41cm - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54190,P273642,Summer Cow Slippers -26x14x18 30 Lbs - 12/pk 3bx/cs cs.36,instock,outofstock,true,2000,publish
54163,P273684,Mix Color Checkered Sherpa Slippers (36cm-41cm) - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54133,P273686,Cowgirl Style Sherpa House Slippers Mix Size 22X18X20 30lbs - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54129,P273680,Colorful Hearts Sherpa Slippers Mix Size - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54128,P273679,Christmas Happy Face Sherpa Slipper Mix Size - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54125,H424249-1,H424249-1 - Bunny Headband W Lights - 1/pk 300bx/cs cs.300,instock,outofstock,false,,draft
54113,T641221,85cm Robot - 1/pk 20bx/cs cs.20,instock,outofstock,true,2000,publish
54108,D751067-Black,D751067-Black - 3D Backpack Black - 6/pk 2bx/cs cs.12,instock,outofstock,false,,draft
53711,T641545-1,T641545-1 - Colorful Cow Bounce Toy - 1/pk 12bx/cs cs.12/cs,instock,outofstock,false,,draft
53162,F287279-R,F287279-R - Red Heart Box w/ Gold Letters- Size 7x23x17cm - 1/pk 18bx/cs cs.18/cs,instock,outofstock,false,,draft
53160,F287277-1,"F287277-1 - Light Pink Ribbon 1.5"" - 1/pk 36bx/cs cs.36/cs",instock,outofstock,false,,draft
51742,T641640-Multi,T641640-Multi - LED Bear w/ Heart 40cm Multicolor - 1/pk 4bx/cs cs.4/cs,instock,outofstock,false,,draft
50715,F287497-1,F287497-1 - 3-piece Pink Heart Gift Box with Gold Outline - 1/pk 16bx/cs cs.16set/cs,instock,outofstock,false,,draft
50631,F287279-Pp,F287279-Pp - Purple Heart Box w/ Gold Letters- Size 7x23x17cm - 1/pk 18bx/cs cs.18/cs,instock,outofstock,false,,draft
50406,T641081-s,T641081-s - Pop Spinner - 12/pk 50bx/cs cs.50pk/cs,instock,outofstock,false,,draft
50318,F286547-PK,F286547-PK - Galaxy Rose Dome W/ Butterfly Pink - 12/pk 3bx/cs cs.36/cs,instock,outofstock,false,,draft
49856,T641664-Red,"T641664-Red - 11"" Rainbow Winged Dragon (12 ea) - 1/pk 12bx/cs cs.12/cs",instock,outofstock,false,,draft
49799,D751052-3D Egg,D751052-3D Egg - 3D mystery egg small size 96pc/dis - 30/pk 8bx/cs cs.240/cs,instock,outofstock,false,,draft
